model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Focus,2018,12993,Manual,19135,Petrol,145,57.7,1.0
 Focus,2013,6477,Manual,41250,Petrol,30,56.5,1.0
 Focus,2017,9798,Manual,39763,Diesel,0,74.3,1.5
 Focus,2016,10798,Manual,22904,Diesel,0,74.3,1.5
 Focus,2019,16640,Manual,7864,Petrol,145,60.1,1.0
 Focus,2018,10700,Manual,28313,Petrol,145,60.1,1.0
 Focus,2018,11000,Manual,11817,Petrol,145,60.1,1.0
 Focus,2019,18391,Automatic,12821,Petrol,145,50.4,1.0
 Focus,2017,10930,Manual,6471,Petrol,20,61.4,1.0
 Focus,2018,13400,Manual,8271,Petrol,145,60.1,1.0
 Focus,2016,11500,Manual,72085,Diesel,20,67.3,2.0
 Focus,2019,16998,Manual,15888,Petrol,145,60.1,1.0
 Focus,2016,8798,Manual,47577,Diesel,0,74.3,1.5
 Focus,2017,11698,Manual,17750,Diesel,0,74.3,1.5
 Focus,2018,12998,Manual,15448,Petrol,145,57.7,1.0
 Focus,2019,13998,Manual,16879,Petrol,150,58.9,1.0
 Focus,2017,11700,Manual,18524,Petrol,20,60.1,1.0
 Focus,2017,11450,Manual,23319,Petrol,145,60.1,1.0
 Focus,2017,11450,Manual,24521,Petrol,20,60.1,1.0
 Focus,2018,11800,Manual,17312,Petrol,145,60.1,1.0
 Focus,2017,10800,Manual,36050,Petrol,145,60.1,1.0
 Focus,2017,10400,Manual,13275,Petrol,145,60.1,1.0
 Focus,2016,13500,Manual,36638,Diesel,20,67.3,2.0
 Focus,2018,11500,Manual,10051,Petrol,145,60.1,1.0
 Focus,2018,11650,Manual,7680,Petrol,145,60.1,1.0
 Focus,2014,5698,Manual,70745,Petrol,20,60.1,1.0
 Focus,2018,12598,Manual,22162,Petrol,150,57.7,1.0
 Focus,2015,9498,Manual,29901,Diesel,0,74.3,1.5
 Focus,2019,16498,Manual,14645,Petrol,150,60.1,1.0
 Focus,2016,10498,Manual,17685,Diesel,0,74.3,1.5
 Focus,2019,16498,Automatic,5955,Petrol,145,51.4,1.0
 Focus,2019,18498,Automatic,6096,Diesel,145,64.2,2.0
 Focus,2017,10498,Manual,26029,Diesel,0,74.3,1.5
 Focus,2019,25500,Manual,3011,Petrol,145,34.5,2.3
 Focus,2019,25500,Manual,6338,Petrol,145,34.5,2.3
 Focus,2016,9000,Manual,36565,Diesel,0,74.3,1.5
 Focus,2016,10250,Manual,23256,Petrol,125,51.4,1.5
 Focus,2017,9998,Manual,28761,Diesel,0,74.3,1.5
 Focus,2017,14000,Manual,43000,Petrol,150,41.5,2.0
 Focus,2017,10500,Manual,37920,Diesel,145,74.3,1.5
 Focus,2018,13650,Manual,13485,Petrol,145,57.7,1.0
 Focus,2013,6776,Manual,35490,Diesel,20,67.3,1.6
 Focus,2016,7480,Manual,62595,Diesel,0,74.3,1.5
 Focus,2018,13998,Manual,12024,Petrol,145,58.9,1.0
 Focus,2017,11498,Manual,15378,Petrol,20,61.4,1.0
 Focus,2015,7698,Manual,43361,Petrol,20,60.1,1.0
 Focus,2019,17998,Automatic,2676,Diesel,145,64.2,2.0
 Focus,2017,11298,Manual,14604,Diesel,0,74.3,1.5
 Focus,2019,15298,Automatic,12779,Petrol,145,48.7,1.0
 Focus,2017,38015,Manual,197,Diesel,145,74.3,1.5
 Focus,2017,14498,Manual,37886,Diesel,20,67.3,2.0
 Focus,2017,16998,Manual,25129,Diesel,20,67.3,2.0
 Focus,2017,15995,Manual,22947,Diesel,20,67.3,2.0
 Focus,2013,5999,Manual,41675,Petrol,20,58.9,1.0
 Focus,2018,11810,Manual,17330,Petrol,145,51.4,1.5
 Focus,2017,9870,Manual,23699,Petrol,145,60.1,1.0
 Focus,2017,11991,Manual,23445,Diesel,0,74.3,1.5
 Focus,2016,9790,Manual,34006,Diesel,0,74.3,1.5
 Focus,2018,16700,Manual,7732,Petrol,145,60.1,1.0
 Focus,2018,18797,Manual,5946,Petrol,145,41.5,2.0
 Focus,2015,8000,Manual,45566,Diesel,0,74.3,1.5
 Focus,2018,13498,Manual,18744,Diesel,145,74.3,1.5
 Focus,2017,10991,Manual,25899,Petrol,150,60.1,1.0
 Focus,2018,12991,Manual,15623,Petrol,150,57.7,1.0
 Focus,2017,11291,Semi-Auto,12857,Petrol,125,51.4,1.0
 Focus,2015,7180,Manual,44583,Diesel,0,74.3,1.5
 Focus,2017,18491,Manual,18523,Petrol,200,41.5,2.0
 Focus,2016,11290,Manual,9928,Petrol,20,60.1,1.0
 Focus,2017,10998,Manual,31953,Diesel,145,74.3,1.5
 Focus,2017,16495,Manual,33770,Petrol,145,41.5,2.0
 Focus,2018,14160,Manual,10109,Petrol,145,58.9,1.0
 Focus,2018,14300,Manual,9713,Petrol,145,58.9,1.0
 Focus,2017,11880,Manual,2435,Petrol,145,61.4,1.0
 Focus,2015,7191,Manual,63780,Diesel,20,67.3,1.6
 Focus,2018,19700,Manual,8022,Petrol,145,41.5,2.0
 Focus,2014,7820,Manual,39000,Diesel,0,74.3,1.5
 Focus,2018,11150,Manual,16709,Petrol,150,60.1,1.0
 Focus,2017,11190,Semi-Auto,38410,Diesel,145,74.3,1.5
 Focus,2017,18930,Manual,13965,Petrol,145,41.5,2.0
 Focus,2017,10650,Manual,16946,Petrol,150,60.1,1.0
 Focus,2017,11650,Manual,22344,Petrol,150,51.4,1.5
 Focus,2019,15470,Manual,8724,Petrol,145,60.1,1.0
 Focus,2019,15590,Manual,11110,Petrol,145,60.1,1.0
 Focus,2019,15020,Manual,20300,Petrol,145,60.1,1.0
 Focus,2019,17250,Manual,17500,Diesel,145,62.8,1.5
 Focus,2017,15480,Manual,25894,Petrol,200,41.5,2.0
 Focus,2019,15860,Manual,12853,Diesel,145,74.3,1.5
 Focus,2016,16700,Manual,11968,Petrol,200,41.5,2.0
 Focus,2018,14498,Manual,13218,Diesel,145,80.7,1.5
 Focus,2019,16998,Manual,15608,Petrol,145,60.1,1.0
 Focus,2019,16998,Automatic,6641,Diesel,145,64.2,2.0
 Focus,2016,14998,Manual,9054,Diesel,20,67.3,2.0
 Focus,2017,11298,Manual,17530,Diesel,0,74.3,1.5
 Focus,2016,16998,Manual,16018,Petrol,200,41.5,2.0
 Focus,2019,17530,Automatic,7648,Petrol,145,47.9,1.5
 Focus,2019,16920,Manual,4596,Diesel,145,61.4,1.5
 Focus,2018,13691,Manual,12603,Petrol,145,58.9,1.0
 Focus,2017,11750,Manual,8556,Petrol,145,60.1,1.0
 Focus,2017,10500,Manual,28244,Diesel,0,74.3,1.5
 Focus,2017,10498,Manual,17650,Petrol,145,61.4,1.0
 Focus,2016,7998,Manual,69312,Diesel,0,74.3,1.5
 Focus,2017,11698,Manual,8111,Petrol,145,61.4,1.0
 Focus,2013,5498,Manual,67133,Diesel,20,67.3,1.6
 Focus,2017,14998,Manual,39193,Diesel,145,67.3,2.0
 Focus,2017,15498,Manual,37989,Petrol,145,41.5,2.0
 Focus,2016,8298,Manual,49173,Diesel,0,74.3,1.5
 Focus,2015,7998,Manual,29331,Diesel,0,83.1,1.5
 Focus,2019,16937,Manual,18651,Diesel,145,74.3,1.5
 Focus,2019,16491,Automatic,18512,Diesel,145,74.3,1.5
 Focus,2019,19000,Manual,7124,Petrol,145,60.1,1.0
 Focus,2019,19050,Manual,4637,Petrol,145,60.1,1.0
 Focus,2019,13298,Manual,15320,Petrol,150,60.1,1.0
 Focus,2019,14798,Automatic,12848,Petrol,150,50.4,1.0
 Focus,2018,11691,Manual,13159,Petrol,145,61.4,1.0
 Focus,2019,17050,Manual,3891,Diesel,145,74.3,1.5
 Focus,2018,18998,Manual,11339,Diesel,145,67.3,2.0
 Focus,2015,7998,Manual,46010,Diesel,20,67.3,1.6
 Focus,2013,8798,Manual,63921,Petrol,240,39.2,2.0
 Focus,2017,15298,Manual,16480,Diesel,20,67.3,2.0
 Focus,2017,11998,Manual,25950,Diesel,0,74.3,1.5
 Focus,2017,11591,Manual,7612,Petrol,20,61.4,1.0
 Focus,2018,11460,Manual,21742,Petrol,145,61.4,1.0
 Focus,2017,10620,Manual,18385,Diesel,0,74.3,1.5
 Focus,2019,16298,Manual,14057,Petrol,150,49.6,1.0
 Focus,2019,14490,Manual,6384,Petrol,145,58.9,1.0
 Focus,2019,14530,Manual,4398,Petrol,145,58.9,1.0
 Focus,2019,14590,Manual,3648,Petrol,145,58.9,1.0
 Focus,2015,8990,Manual,34998,Diesel,0,74.3,1.5
 Focus,2017,12240,Automatic,15540,Petrol,145,46.3,1.5
 Focus,2016,8080,Manual,57894,Diesel,0,74.3,1.5
 Focus,2018,14891,Manual,14115,Diesel,145,74.3,1.5
 Focus,2019,17390,Manual,3392,Petrol,145,60.1,1.0
 Focus,2019,19070,Manual,4165,Petrol,145,60.1,1.0
 Focus,2019,17380,Manual,4052,Petrol,145,60.1,1.0
 Focus,2019,17490,Manual,944,Petrol,145,60.1,1.0
 Focus,2015,8559,Manual,55601,Diesel,0,74.3,1.5
 Focus,2018,14691,Manual,16364,Petrol,145,57.7,1.0
 Focus,2019,16090,Manual,13696,Diesel,145,62.8,1.5
 Focus,2017,11591,Manual,11055,Petrol,145,60.1,1.0
 Focus,2018,10700,Manual,22749,Petrol,145,60.1,1.0
 Focus,2017,9891,Manual,24065,Petrol,150,61.4,1.0
 Focus,2020,18991,Manual,905,Petrol,150,60.1,1.0
 Focus,2018,12000,Manual,18952,Diesel,145,74.3,1.5
 Focus,2015,13838,Manual,26201,Petrol,200,41.5,2.0
 Focus,2019,18420,Manual,6479,Diesel,145,57.6,2.0
 Focus,2019,17900,Manual,9504,Diesel,145,57.7,1.5
 Focus,2019,17350,Manual,4539,Diesel,145,61.4,1.5
 Focus,2015,9991,Manual,28351,Diesel,0,74.3,1.5
 Focus,2016,8798,Manual,43101,Diesel,0,74.3,1.5
 Focus,2016,10300,Manual,21117,Petrol,20,60.1,1.0
 Focus,2018,18520,Manual,11958,Petrol,145,41.5,2.0
 Focus,2019,17520,Manual,1987,Petrol,145,60.1,1.0
 Focus,2019,17000,Manual,4920,Diesel,145,80.7,1.5
 Focus,2019,17520,Manual,5000,Petrol,145,60.1,1.0
 Focus,2019,17520,Manual,3214,Petrol,145,60.1,1.0
 Focus,2019,16400,Manual,8664,Petrol,145,60.1,1.0
 Focus,2019,16998,Manual,21480,Petrol,145,60.1,1.0
 Focus,2019,16298,Automatic,12029,Petrol,145,41.5,1.0
 Focus,2019,16000,Manual,6238,Petrol,145,60.1,1.0
 Focus,2019,19741,Automatic,6750,Diesel,145,74.3,1.5
 Focus,2017,9470,Manual,30493,Diesel,145,74.3,1.5
 Focus,2019,19498,Automatic,6621,Diesel,145,64.2,2.0
 Focus,2017,9347,Manual,35013,Diesel,145,74.3,1.5
 Focus,2014,8390,Manual,18680,Diesel,20,67.3,1.6
 Focus,2017,10200,Manual,27353,Petrol,145,60.1,1.0
 Focus,2017,10800,Manual,35629,Petrol,145,60.1,1.0
 Focus,2018,13567,Manual,7756,Diesel,145,74.3,1.5
 Focus,2019,15351,Manual,13064,Petrol,145,58.9,1.0
 Focus,2019,15151,Manual,13591,Petrol,145,58.9,1.0
 Focus,2016,14795,Manual,26000,Diesel,20,67.3,2.0
 Focus,2015,7120,Manual,56561,Diesel,0,74.3,1.5
 Focus,2016,11070,Manual,17975,Diesel,0,74.3,1.5
 Focus,2017,12591,Manual,11627,Petrol,145,60.1,1.0
 Focus,2016,9691,Manual,17915,Petrol,20,61.4,1.0
 Focus,2019,19990,Automatic,5796,Diesel,145,47.9,1.5
 Focus,2019,17620,Automatic,9014,Petrol,145,51.4,1.0
 Focus,2017,11991,Manual,23161,Diesel,145,74.3,1.5
 Focus,2014,6600,Manual,45623,Petrol,30,56.5,1.0
 Focus,2015,9495,Semi-Auto,18683,Petrol,160,44.8,1.6
 Focus,2015,14740,Manual,31685,Diesel,20,67.3,2.0
 Focus,2019,21350,Automatic,2314,Petrol,145,39.2,1.5
